epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.142,0.28218,1.37438,0.945,0.53503,0.62175,0.64589,0.57264,0.36938,1.76732,0.93055,0.000277231,0.000277231,0.000277231
2,760.195,0.23372,0.64668,0.9239,0.77806,0.74384,0.84771,0.72255,0.42188,0.86656,0.95325,0.000499963,0.000499963,0.000499963
3,1132.71,0.21904,0.55236,0.91737,0.79815,0.82937,0.88412,0.78215,0.43008,0.88542,0.96431,0.000667717,0.000667717,0.000667717
4,1514.28,0.21122,0.50371,0.91259,0.83971,0.82395,0.89779,0.81449,0.36543,0.69594,0.93848,0.000585599,0.000585599,0.000585599
5,1886.56,0.19397,0.44036,0.91033,0.85847,0.82375,0.8959,0.79583,0.35957,0.67219,0.91792,0.000503132,0.000503132,0.000503132
6,3823.29,0.18399,0.40273,0.90807,0.85147,0.88418,0.93771,0.84006,0.33464,0.74406,0.94945,0.000420665,0.000420665,0.000420665
7,42333.3,0.174,0.36921,0.90425,0.88245,0.86968,0.94792,0.83581,0.36989,0.66022,0.95188,0.000338198,0.000338198,0.000338198
8,43376.9,0.16379,0.33672,0.90227,0.90948,0.88643,0.95089,0.8644,0.32745,0.598,0.94723,0.000255731,0.000255731,0.000255731
9,43755,0.15605,0.30657,0.89943,0.85627,0.9134,0.9543,0.86455,0.33243,0.70004,0.93801,0.000173264,0.000173264,0.000173264
10,44129,0.14807,0.27958,0.89537,0.88317,0.93116,0.96287,0.87059,0.32827,0.70389,0.9382,9.0797e-05,9.0797e-05,9.0797e-05
